column_name,column_type,null,key,default,extra
product_quantity,DOUBLE,YES,,,
owner,VARCHAR,YES,,,
data_quality_errors_tags,VARCHAR,YES,,,
unique_scans_n,BIGINT,YES,,,
popularity_tags,VARCHAR,YES,,,
completeness,DOUBLE,YES,,,
last_image_t,BIGINT,YES,,,
last_image_datetime,TIMESTAMP WITH TIME ZONE,YES,,,
main_category,VARCHAR,YES,,,
main_category_en,VARCHAR,YES,,,
image_url,VARCHAR,YES,,,
image_small_url,VARCHAR,YES,,,
image_ingredients_url,VARCHAR,YES,,,
image_ingredients_small_url,VARCHAR,YES,,,
image_nutrition_url,VARCHAR,YES,,,
image_nutrition_small_url,VARCHAR,YES,,,
energy-kj_100g,DOUBLE,YES,,,
energy-kcal_100g,DOUBLE,YES,,,
energy_100g,DOUBLE,YES,,,
energy-from-fat_100g,VARCHAR,YES,,,
fat_100g,DOUBLE,YES,,,
saturated-fat_100g,DOUBLE,YES,,,
butyric-acid_100g,VARCHAR,YES,,,
caproic-acid_100g,VARCHAR,YES,,,
caprylic-acid_100g,VARCHAR,YES,,,
capric-acid_100g,VARCHAR,YES,,,
lauric-acid_100g,VARCHAR,YES,,,
myristic-acid_100g,VARCHAR,YES,,,
palmitic-acid_100g,VARCHAR,YES,,,
stearic-acid_100g,VARCHAR,YES,,,
arachidic-acid_100g,VARCHAR,YES,,,
behenic-acid_100g,VARCHAR,YES,,,
lignoceric-acid_100g,VARCHAR,YES,,,
cerotic-acid_100g,VARCHAR,YES,,,
montanic-acid_100g,VARCHAR,YES,,,
melissic-acid_100g,VARCHAR,YES,,,
unsaturated-fat_100g,VARCHAR,YES,,,
monounsaturated-fat_100g,DOUBLE,YES,,,
omega-9-fat_100g,VARCHAR,YES,,,
polyunsaturated-fat_100g,DOUBLE,YES,,,
omega-3-fat_100g,VARCHAR,YES,,,
omega-6-fat_100g,VARCHAR,YES,,,
alpha-linolenic-acid_100g,BIGINT,YES,,,
eicosapentaenoic-acid_100g,VARCHAR,YES,,,
docosahexaenoic-acid_100g,VARCHAR,YES,,,
linoleic-acid_100g,VARCHAR,YES,,,
arachidonic-acid_100g,VARCHAR,YES,,,
gamma-linolenic-acid_100g,VARCHAR,YES,,,
dihomo-gamma-linolenic-acid_100g,VARCHAR,YES,,,
oleic-acid_100g,VARCHAR,YES,,,
elaidic-acid_100g,VARCHAR,YES,,,
gondoic-acid_100g,VARCHAR,YES,,,
mead-acid_100g,VARCHAR,YES,,,
erucic-acid_100g,VARCHAR,YES,,,
nervonic-acid_100g,VARCHAR,YES,,,
trans-fat_100g,DOUBLE,YES,,,
cholesterol_100g,DOUBLE,YES,,,
carbohydrates_100g,DOUBLE,YES,,,
sugars_100g,DOUBLE,YES,,,
added-sugars_100g,DOUBLE,YES,,,
sucrose_100g,DOUBLE,YES,,,
glucose_100g,DOUBLE,YES,,,
fructose_100g,DOUBLE,YES,,,
galactose_100g,DOUBLE,YES,,,
lactose_100g,DOUBLE,YES,,,
maltose_100g,DOUBLE,YES,,,
maltodextrins_100g,VARCHAR,YES,,,
psicose_100g,VARCHAR,YES,,,
starch_100g,DOUBLE,YES,,,
polyols_100g,DOUBLE,YES,,,
erythritol_100g,VARCHAR,YES,,,
isomalt_100g,VARCHAR,YES,,,
maltitol_100g,VARCHAR,YES,,,
sorbitol_100g,VARCHAR,YES,,,
fiber_100g,DOUBLE,YES,,,
soluble-fiber_100g,VARCHAR,YES,,,
polydextrose_100g,VARCHAR,YES,,,
insoluble-fiber_100g,VARCHAR,YES,,,
proteins_100g,DOUBLE,YES,,,
casein_100g,VARCHAR,YES,,,
serum-proteins_100g,VARCHAR,YES,,,
nucleotides_100g,VARCHAR,YES,,,
salt_100g,DOUBLE,YES,,,
added-salt_100g,VARCHAR,YES,,,
sodium_100g,DOUBLE,YES,,,
alcohol_100g,DOUBLE,YES,,,
vitamin-a_100g,DOUBLE,YES,,,
beta-carotene_100g,DOUBLE,YES,,,
vitamin-d_100g,DOUBLE,YES,,,
vitamin-e_100g,DOUBLE,YES,,,
vitamin-k_100g,DOUBLE,YES,,,
vitamin-c_100g,DOUBLE,YES,,,
vitamin-b1_100g,DOUBLE,YES,,,
vitamin-b2_100g,DOUBLE,YES,,,
vitamin-pp_100g,DOUBLE,YES,,,
vitamin-b6_100g,DOUBLE,YES,,,
vitamin-b9_100g,DOUBLE,YES,,,
folates_100g,DOUBLE,YES,,,
vitamin-b12_100g,DOUBLE,YES,,,
biotin_100g,DOUBLE,YES,,,
pantothenic-acid_100g,DOUBLE,YES,,,
silica_100g,VARCHAR,YES,,,
bicarbonate_100g,VARCHAR,YES,,,
potassium_100g,DOUBLE,YES,,,
chloride_100g,DOUBLE,YES,,,
calcium_100g,DOUBLE,YES,,,
phosphorus_100g,DOUBLE,YES,,,
iron_100g,DOUBLE,YES,,,
magnesium_100g,DOUBLE,YES,,,
zinc_100g,DOUBLE,YES,,,
copper_100g,DOUBLE,YES,,,
manganese_100g,DOUBLE,YES,,,
fluoride_100g,DOUBLE,YES,,,
selenium_100g,DOUBLE,YES,,,
chromium_100g,DOUBLE,YES,,,
molybdenum_100g,DOUBLE,YES,,,
iodine_100g,DOUBLE,YES,,,
caffeine_100g,DOUBLE,YES,,,
taurine_100g,VARCHAR,YES,,,
methylsulfonylmethane_100g,VARCHAR,YES,,,
hydroxymethylbutyrate_100g,VARCHAR,YES,,,
ph_100g,VARCHAR,YES,,,
fruits-vegetables-legumes_100g,DOUBLE,YES,,,
collagen-meat-protein-ratio_100g,VARCHAR,YES,,,
cocoa_100g,DOUBLE,YES,,,
chlorophyl_100g,DOUBLE,YES,,,
carbon-footprint_100g,BIGINT,YES,,,
glycemic-index_100g,VARCHAR,YES,,,
water-hardness_100g,VARCHAR,YES,,,
choline_100g,BIGINT,YES,,,
phylloquinone_100g,DOUBLE,YES,,,
beta-glucan_100g,VARCHAR,YES,,,
inositol_100g,VARCHAR,YES,,,
carnitine_100g,VARCHAR,YES,,,
sulphate_100g,VARCHAR,YES,,,
nitrate_100g,VARCHAR,YES,,,
acidity_100g,VARCHAR,YES,,,
carbohydrates-total_100g,DOUBLE,YES,,,
water_100g,DOUBLE,YES,,,
